Timestamp,Application,octets(kbps),octets
18-01-2019,google_gen,25787.42871,211250616
18-01-2019,tcp,5.78125,47360
18-01-2019,https,364551.0035,2986401821
18-01-2019,mozilla,25857.14111,211821700
18-01-2019,firefox_update,3528.444336,28905016
18-01-2019,dns,26212.38391,214731849
18-01-2019,unknown,219.6983643,1799769
19-01-2019,mozilla,53646.65161,439473370
19-01-2019,tcp,9,73728
19-01-2019,dns,54404.96423,445685467
19-01-2019,unknown,511.7199707,4192010
19-01-2019,firefox_update,7613.459229,62369458
19-01-2019,https,763272.1248,6252725246
19-01-2019,google_gen,53116.18726,435127806
20-01-2019,dns,70345.07214,576266831
20-01-2019,google_gen,69077.1167,565879740
20-01-2019,mozilla,68615.91418,562101569
20-01-2019,tcp,9,73728
20-01-2019,unknown,681.1191406,5579728
20-01-2019,firefox_update,9983.161133,81782056
20-01-2019,ntp,3.321289063,27208
20-01-2019,https,1002103.648,8209233082
21-01-2019,mozilla,83926.20154,687523443
21-01-2019,unknown,793.0070801,6496314
21-01-2019,ocsp,104.4140625,855360
21-01-2019,https,1241044.454,10166636166
21-01-2019,ntp,5.34375,43776
21-01-2019,firefox_update,12361.25879,101263432
21-01-2019,dns,86585.09119,709305067
21-01-2019,tcp,9,73728
21-01-2019,google_gen,85304.32825,698813057
22-01-2019,unknown,1599.58313,13103785
22-01-2019,google_tags,129.501709,1060878
22-01-2019,ntp,5.34375,43776
22-01-2019,google_ads,8960.377686,73403414
22-01-2019,firefox_update,14737.66699,120730968
22-01-2019,gstatic,7204.234619,59017090
22-01-2019,google_gen,108565.236,889366413
22-01-2019,microsoft,2294.079346,18793098
22-01-2019,ocsp,1823.180176,14935492
22-01-2019,mozilla,102287.7708,837941418
22-01-2019,windowslive,643.6428223,5272722
22-01-2019,dns,112427.1964,921003593
22-01-2019,youtube,46816106.99,3.83518E+11
22-01-2019,facebook,30785.9801,252198749
22-01-2019,tcp,19.22265625,157472
22-01-2019,skype,5784.582886,47387303
22-01-2019,google_accounts,10398.64526,85185702
22-01-2019,https,1483039.171,12149056889
22-01-2019,atlassolutions,207.8193359,1702456
23-01-2019,firefox_update,17119.47363,140242728
23-01-2019,dns,150029.0521,1229037995
23-01-2019,microsoft,3258.035156,26689824
23-01-2019,skype,8232.433594,67440096
23-01-2019,gstatic,14768.62769,120984598
23-01-2019,https,1731364.123,14183334893
23-01-2019,google_tags,183.7265625,1505088
23-01-2019,unknown,2441.72583,20002618
23-01-2019,tcp,40.5,331776
23-01-2019,mozilla,119556.299,979405201
23-01-2019,facebook,50306.13586,412107865
23-01-2019,atlassolutions,296.296875,2427264
23-01-2019,windowslive,913.1484375,7480512
23-01-2019,google_ads,33753.08435,276505267
23-01-2019,google_gen,144632.9823,1184833391
23-01-2019,google_accounts,14752.75781,120854592
23-01-2019,ntp,5.34375,43776
23-01-2019,youtube,101218002.9,8.29178E+11
23-01-2019,ocsp,3422.954102,28040840
24-01-2019,windowslive,913.1484375,7480512
24-01-2019,gstatic,20059.68066,164328904
24-01-2019,google_accounts,14752.75781,120854592
24-01-2019,facebook,57785.70203,473380471
24-01-2019,youtube,101232128.7,8.29294E+11
24-01-2019,tcp,42.62939453,349220
24-01-2019,ocsp,3550.289063,29083968
24-01-2019,https,1970534.464,16142618333
24-01-2019,atlassolutions,296.296875,2427264
24-01-2019,microsoft,3258.035156,26689824
24-01-2019,skype,8232.433594,67440096
24-01-2019,dns,181904.0514,1490157989
24-01-2019,google_ads,56816.40088,465439956
24-01-2019,google_gen,179882.0033,1473593371
24-01-2019,mozilla,136004.328,1114147455
24-01-2019,unknown,2606.240845,21350325
24-01-2019,google_tags,183.7265625,1505088
24-01-2019,ntp,5.34375,43776
24-01-2019,firefox_update,19495.27051,159705256
25-01-2019,dns,213267.4293,1747086781
25-01-2019,ntp,5.34375,43776
25-01-2019,gstatic,25365.61865,207795148
25-01-2019,google_tags,183.7265625,1505088
25-01-2019,skype,8232.433594,67440096
25-01-2019,google_gen,215390.0328,1764475149
25-01-2019,facebook,65199.23059,534112097
25-01-2019,https,2210815.836,18111003332
25-01-2019,mozilla,150728.691,1234769437
25-01-2019,google_accounts,14752.75781,120854592
25-01-2019,ocsp,3550.289063,29083968
25-01-2019,google_ads,79600.59961,652088112
25-01-2019,windowslive,913.1484375,7480512
25-01-2019,unknown,2902.798096,23779722
25-01-2019,youtube,101245876.7,8.29406E+11
25-01-2019,tcp,45.5625,373248
25-01-2019,microsoft,3258.035156,26689824
25-01-2019,firefox_update,21876.0166,179208328
25-01-2019,atlassolutions,296.296875,2427264
26-01-2019,firefox_update,24261.87988,198753320
26-01-2019,youtube,101259301.4,8.29516E+11
26-01-2019,facebook,72572.85681,594516843
26-01-2019,https,2452096.131,20087571503
26-01-2019,dns,242811.6649,1989113159
26-01-2019,google_ads,100920.3243,826739297
26-01-2019,gstatic,30635.35156,250964800
26-01-2019,windowslive,913.1484375,7480512
26-01-2019,tcp,48.46240234,397004
26-01-2019,google_tags,183.7265625,1505088
26-01-2019,google_gen,250706.1595,2053784859
26-01-2019,skype,8232.433594,67440096
26-01-2019,atlassolutions,296.296875,2427264
26-01-2019,microsoft,3258.035156,26689824
26-01-2019,mozilla,165903.1051,1359078237
26-01-2019,google_accounts,14752.75781,120854592
26-01-2019,ocsp,3550.289063,29083968
26-01-2019,ntp,5.34375,43776
26-01-2019,unknown,3331.062988,27288068
27-01-2019,ocsp,3550.289063,29083968
27-01-2019,https,2694067.061,22069797365
27-01-2019,windowslive,913.1484375,7480512
27-01-2019,atlassolutions,296.296875,2427264
27-01-2019,youtube,101273064.2,8.29629E+11
27-01-2019,tcp,51.07421875,418400
27-01-2019,skype,8232.433594,67440096
27-01-2019,google_accounts,14752.75781,120854592
27-01-2019,microsoft,3258.035156,26689824
27-01-2019,dns,270241.8744,2213821435
27-01-2019,mozilla,181159.8948,1484061858
27-01-2019,google_ads,120264.6132,985207711
27-01-2019,firefox_update,26651.64453,218330272
27-01-2019,gstatic,35922.76514,294279292
27-01-2019,unknown,3670.839722,30071519
27-01-2019,ntp,8.665039063,70984
27-01-2019,facebook,79999.05591,655352266
27-01-2019,google_tags,183.7265625,1505088
27-01-2019,google_gen,285636.1735,2339931533
28-01-2019,atlassolutions,295.2680664,2418836
28-01-2019,ntp,10.65039063,87248
28-01-2019,google_gen,319483.3646,2617207723
28-01-2019,unknown,3891.493652,31879116
28-01-2019,firefox_update,28941.87854,237091869
28-01-2019,mozilla,195978.4596,1605455541
28-01-2019,google_tags,183.088623,1499862
28-01-2019,https,2932593.622,24023806950
28-01-2019,tcp,58.33251953,477860
28-01-2019,gstatic,41041.48804,336211870
28-01-2019,windowslive,909.9777832,7454538
28-01-2019,google_ads,139385.6943,1141847608
28-01-2019,google_accounts,14701.53296,120434958
28-01-2019,ocsp,3644.333008,29854376
28-01-2019,youtube,100935158.4,8.26861E+11
28-01-2019,skype,8203.848755,67205929
28-01-2019,microsoft,3246.722534,26597151
28-01-2019,dns,297306.7229,2435536674
28-01-2019,facebook,87251.30774,714762713
29-01-2019,ocsp,4152.463989,34016985
29-01-2019,google_ads,159779.5225,1308913848
29-01-2019,dns,327205.9283,2680470965
29-01-2019,mozilla,212287.8019,1739061673
29-01-2019,windowslive,913.1484375,7480512
29-01-2019,https,3189971.245,26132244435
29-01-2019,unknown,3990.839355,32692956
29-01-2019,google_gen,355983.0764,2916213362
29-01-2019,facebook,94981.42993,778087874
29-01-2019,firefox_update,31405.48828,257273760
29-01-2019,gstatic,46452.21167,380536518
29-01-2019,microsoft,3258.035156,26689824
29-01-2019,skype,8232.433594,67440096
29-01-2019,tcp,74.50585938,610352
29-01-2019,google_tags,183.7265625,1505088
29-01-2019,youtube,101300570.7,8.29854E+11
29-01-2019,ntp,10.6875,87552
29-01-2019,atlassolutions,296.296875,2427264
29-01-2019,google_accounts,14752.75781,120854592
30-01-2019,mozilla,231145.7865,1893546283
30-01-2019,ntp,10.6875,87552
30-01-2019,atlassolutions,296.296875,2427264
30-01-2019,microsoft,3258.035156,26689824
30-01-2019,ocsp,4979.814453,40794640
30-01-2019,skype,8232.433594,67440096
30-01-2019,google_tags,183.7265625,1505088
30-01-2019,unknown,4080.135254,33424468
30-01-2019,dns,356534.6152,2920731568
30-01-2019,windowslive,913.1484375,7480512
30-01-2019,tcp,86.578125,709248
30-01-2019,firefox_update,33670.60254,275829576
30-01-2019,gstatic,51722.62903,423711777
30-01-2019,https,3431828.806,28113541578
30-01-2019,facebook,102241.5743,837562977
30-01-2019,youtube,101313825.4,8.29963E+11
30-01-2019,google_accounts,14752.75781,120854592
30-01-2019,google_ads,179146.3441,1467566851
30-01-2019,google_gen,391104.2129,3203925712
31-01-2019,google_gen,426497.2477,3493865453
31-01-2019,youtube,101327224.9,8.30073E+11
31-01-2019,windowslive,913.1484375,7480512
31-01-2019,ntp,10.6875,87552
31-01-2019,mozilla,255966.4373,2096877054
31-01-2019,google_accounts,14752.75781,120854592
31-01-2019,google_ads,198371.8693,1625062353
31-01-2019,google_tags,183.7265625,1505088
31-01-2019,firefox_update,36051.64941,295335112
31-01-2019,unknown,4232.307617,34671064
31-01-2019,gstatic,56978.4928,466767813
31-01-2019,atlassolutions,296.296875,2427264
31-01-2019,tcp,91.96875,753408
31-01-2019,https,3672709.866,30086839219
31-01-2019,ocsp,5553.102539,45491016
31-01-2019,microsoft,3258.035156,26689824
31-01-2019,dns,385487.5154,3157913726
31-01-2019,skype,8232.433594,67440096
31-01-2019,facebook,109488.929,896933306
01-02-2019,google_ads,217704.076,1783431791
01-02-2019,skype,8232.433594,67440096
01-02-2019,dns,412444.7826,3378747659
01-02-2019,youtube,101340689.1,8.30183E+11
01-02-2019,ntp,10.6875,87552
01-02-2019,https,3913556.045,32059851118
01-02-2019,ocsp,5688.246094,46598112
01-02-2019,google_accounts,14752.75781,120854592
01-02-2019,facebook,116854.791,957274448
01-02-2019,tcp,91.96875,753408
01-02-2019,google_tags,183.7265625,1505088
01-02-2019,microsoft,3258.035156,26689824
01-02-2019,unknown,4454.397705,36490426
01-02-2019,mozilla,273004.0708,2236449348
01-02-2019,atlassolutions,296.296875,2427264
01-02-2019,google_gen,449704.7924,3683981659
01-02-2019,windowslive,913.1484375,7480512
01-02-2019,gstatic,59088.41016,484052256
01-02-2019,firefox_update,38435.77441,314865864
02-02-2019,https,4157936.862,34061818771
02-02-2019,ntp,10.6875,87552
02-02-2019,firefox_update,40824.18066,334431688
02-02-2019,gstatic,59088.41016,484052256
02-02-2019,google_accounts,14752.75781,120854592
02-02-2019,google_ads,237347.2906,1944349005
02-02-2019,microsoft,3258.035156,26689824
02-02-2019,google_tags,183.7265625,1505088
02-02-2019,facebook,124158.4839,1017106300
02-02-2019,dns,438827.9226,3594878342
02-02-2019,google_gen,466318.7155,3820082917
02-02-2019,mozilla,300754.488,2463780766
02-02-2019,tcp,104.0444336,852332
02-02-2019,youtube,101354201.5,8.30294E+11
02-02-2019,windowslive,913.1484375,7480512
02-02-2019,ocsp,5832.421509,47779197
02-02-2019,unknown,5010.833496,41048748
02-02-2019,skype,8232.433594,67440096
02-02-2019,atlassolutions,296.296875,2427264
03-02-2019,windowslive,913.1484375,7480512
03-02-2019,firefox_update,43196.93152,353869263
03-02-2019,mozilla,318073.5533,2605658549
03-02-2019,facebook,131531.9777,1077509961
03-02-2019,unknown,6306.671875,51664256
03-02-2019,microsoft,3258.035156,26689824
03-02-2019,atlassolutions,296.296875,2427264
03-02-2019,ntp,14.00878906,114760
03-02-2019,tcp,143.5332031,1175824
03-02-2019,google_tags,183.7265625,1505088
03-02-2019,dns,464718.8087,3806976481
03-02-2019,https,4409768.167,36124820826
03-02-2019,ocsp,6273.070313,51388992
03-02-2019,youtube,101367730.4,8.30404E+11
03-02-2019,skype,8232.433594,67440096
03-02-2019,gstatic,59088.41016,484052256
03-02-2019,google_ads,256854.6993,2104153697
03-02-2019,google_accounts,14752.75781,120854592
03-02-2019,google_gen,482340.22,3951331082
04-02-2019,microsoft,3258.035156,26689824
04-02-2019,google_accounts,14752.75781,120854592
04-02-2019,facebook,138899.0542,1137861052
04-02-2019,dns,490929.2761,4021692630
04-02-2019,skype,8232.433594,67440096
04-02-2019,youtube,101381241.4,8.30515E+11
04-02-2019,mozilla,333042.9763,2728288062
04-02-2019,google_ads,276396.0642,2264236558
04-02-2019,google_gen,498698.8247,4085340772
04-02-2019,windowslive,913.1484375,7480512
04-02-2019,atlassolutions,296.296875,2427264
04-02-2019,google_tags,183.7265625,1505088
04-02-2019,unknown,6543.940674,53607962
04-02-2019,https,4651132.182,38102074835
04-02-2019,tcp,159.46875,1306368
04-02-2019,firefox_update,45587.75537,373454892
04-02-2019,ntp,16.03125,131328
04-02-2019,gstatic,59088.41016,484052256
04-02-2019,ocsp,6402.687012,52450812
05-02-2019,ntp,16.03125,131328
05-02-2019,google_gen,515478.3407,4222798567
05-02-2019,gstatic,59088.41016,484052256
05-02-2019,facebook,146161.6923,1197356583
05-02-2019,ocsp,6805.040771,55746894
05-02-2019,atlassolutions,296.296875,2427264
05-02-2019,microsoft,3258.035156,26689824
05-02-2019,google_accounts,14752.75781,120854592
05-02-2019,dns,517828.438,4242050564
05-02-2019,https,4892140.689,40076416524
05-02-2019,skype,8232.433594,67440096
05-02-2019,youtube,101394786.1,8.30626E+11
05-02-2019,google_tags,183.7265625,1505088
05-02-2019,unknown,6648.484619,54464386
05-02-2019,tcp,159.46875,1306368
05-02-2019,google_ads,296072.1206,2425422812
05-02-2019,windowslive,913.1484375,7480512
05-02-2019,firefox_update,47975.49597,393015263
05-02-2019,mozilla,348429.5845,2854335156
06-02-2019,unknown,6934.12793,56804376
06-02-2019,ntp,16.03125,131328
06-02-2019,dns,544838.5092,4463317067
06-02-2019,windowslive,913.1484375,7480512
06-02-2019,google_tags,183.7265625,1505088
06-02-2019,atlassolutions,296.296875,2427264
06-02-2019,mozilla,365881.2366,2997299090
06-02-2019,youtube,101408422.1,8.30738E+11
06-02-2019,skype,8232.433594,67440096
06-02-2019,tcp,159.46875,1306368
06-02-2019,gstatic,59088.41016,484052256
06-02-2019,facebook,153594.1357,1258243160
06-02-2019,microsoft,3258.035156,26689824
06-02-2019,https,5134353.583,42060624555
06-02-2019,google_gen,531903.5865,4357354181
06-02-2019,google_accounts,14752.75781,120854592
06-02-2019,firefox_update,50284.71521,411932387
06-02-2019,google_ads,315470.7072,2584336033
06-02-2019,ocsp,7231.104004,59237204
07-02-2019,atlassolutions,296.296875,2427264
07-02-2019,ocsp,7550.579712,61854349
07-02-2019,ntp,16.03125,131328
07-02-2019,windowslive,913.1484375,7480512
07-02-2019,google_tags,183.7265625,1505088
07-02-2019,https,5376333.966,44042927852
07-02-2019,facebook,160952.944,1318526517
07-02-2019,youtube,101422175.9,8.3085E+11
07-02-2019,tcp,164.5209961,1347756
07-02-2019,google_accounts,14752.75781,120854592
07-02-2019,gstatic,59088.41016,484052256
07-02-2019,microsoft,3258.035156,26689824
07-02-2019,google_gen,548092.6068,4489974635
07-02-2019,google_ads,334990.7214,2744243990
07-02-2019,dns,572152.2369,4687071125
07-02-2019,mozilla,380791.3284,3119442562
07-02-2019,firefox_update,52429.74207,429504447
07-02-2019,unknown,7324.891602,60005512
07-02-2019,skype,8232.433594,67440096
08-02-2019,windowslive,913.1484375,7480512
08-02-2019,ntp,16.03125,131328
08-02-2019,google_ads,354585.8058,2904766921
08-02-2019,tcp,175.921875,1441152
08-02-2019,skype,8232.433594,67440096
08-02-2019,facebook,168293.2173,1378658036
08-02-2019,google_tags,183.7265625,1505088
08-02-2019,youtube,101436182.8,8.30965E+11
08-02-2019,mozilla,399020.9834,3268779896
08-02-2019,atlassolutions,296.296875,2427264
08-02-2019,microsoft,3258.035156,26689824
08-02-2019,firefox_update,54814.84167,449043183
08-02-2019,google_accounts,14752.75781,120854592
08-02-2019,google_gen,564538.4342,4624698853
08-02-2019,dns,598888.0754,4906091114
08-02-2019,gstatic,59088.41016,484052256
08-02-2019,https,5618190.11,46024213378
08-02-2019,unknown,7482.656006,61297918
08-02-2019,ocsp,8190.667969,67097952
09-02-2019,facebook,175643.3667,1438870460
09-02-2019,skype,8232.433594,67440096
09-02-2019,google_gen,580691.4611,4757024449
09-02-2019,windowslive,913.1484375,7480512
09-02-2019,https,5859493.201,48000968302
09-02-2019,dns,625549.1691,5124498793
09-02-2019,ocsp,8190.667969,67097952
09-02-2019,tcp,175.921875,1441152
09-02-2019,atlassolutions,296.296875,2427264
09-02-2019,microsoft,3258.035156,26689824
09-02-2019,firefox_update,57202.83386,468605615
09-02-2019,google_ads,373957.7344,3063461760
09-02-2019,unknown,7650.897461,62676152
09-02-2019,google_tags,183.7265625,1505088
09-02-2019,ntp,16.03125,131328
09-02-2019,gstatic,59088.41016,484052256
09-02-2019,youtube,101449583.2,8.31075E+11
09-02-2019,google_accounts,14752.75781,120854592
09-02-2019,mozilla,415870.8203,3406813760
10-02-2019,google_gen,596554.2561,4886972466
10-02-2019,https,6099801.971,49969577743
10-02-2019,mozilla,430798.8015,3529103782
10-02-2019,google_ads,391975.5249,3211063500
10-02-2019,tcp,184.6005859,1512248
10-02-2019,facebook,182970.5583,1498894814
10-02-2019,unknown,7866.666138,64443729
10-02-2019,windowslive,913.1484375,7480512
10-02-2019,atlassolutions,296.296875,2427264
10-02-2019,dns,650942.6262,5332521994
10-02-2019,google_accounts,14752.75781,120854592
10-02-2019,skype,8232.433594,67440096
10-02-2019,google_tags,183.7265625,1505088
10-02-2019,ntp,19.37109375,158688
10-02-2019,gstatic,59088.41016,484052256
10-02-2019,youtube,101463307.5,8.31187E+11
10-02-2019,firefox_update,59590.9696,488169223
10-02-2019,microsoft,3258.035156,26689824
10-02-2019,ocsp,8190.667969,67097952
11-02-2019,tcp,319.6552734,2618616
11-02-2019,yahoo_search,2056.355103,16845661
11-02-2019,everest_tech,693.4952393,5681113
11-02-2019,skype,18533.55981,151826922
11-02-2019,gstatic,68508.7334,561223544
11-02-2019,yahoo,6804.753296,55744539
11-02-2019,taboola,516.3846436,4230223
11-02-2019,http2,4969.067139,40706598
11-02-2019,adobe,8927.408325,73133329
11-02-2019,krux,5902.58728,48353995
11-02-2019,rlcdn,400.8438721,3283713
11-02-2019,unknown,9863.202393,80799354
11-02-2019,outbrain,335.2935791,2746725
11-02-2019,bootstrapcdn,1764.73938,14456745
11-02-2019,mozilla,448233.7395,3671930794
11-02-2019,akamai,1956.873047,16030704
11-02-2019,new_relic,20715.78784,169703734
11-02-2019,optimizely,6525.264404,53454966
11-02-2019,youtube,145550214.9,1.19235E+12
11-02-2019,office365,23713.35413,194259797
11-02-2019,ocsp,11548.3429,94604025
11-02-2019,bing,725.8852539,5946452
11-02-2019,ntp,21.375,175104
11-02-2019,firefox_update,61968.78491,507648286
11-02-2019,google_gen,628755.2982,5150763403
11-02-2019,https,6514427.874,53366193145
11-02-2019,atlassolutions,633.4272461,5189036
11-02-2019,google_ads,414261.6688,3393631591
11-02-2019,google_tags,4685.687622,38385153
11-02-2019,google_analytics,2302.284668,18860316
11-02-2019,microsoft,7488.60791,61346676
11-02-2019,facebook,222225.3036,1820469687
11-02-2019,cloudflare,216.0917969,1770224
11-02-2019,amazon,549.6002197,4502325
11-02-2019,salesforce,153121.2725,1254369464
11-02-2019,google_accounts,14752.75781,120854592
11-02-2019,dns,708552.8198,5804464700
11-02-2019,linkedin,424.345459,3476238
11-02-2019,sharepoint_online,339.3900146,2780283
11-02-2019,windowslive,1134.88916,9297012
12-02-2019,firefox_update,64325.88391,526957641
12-02-2019,facebook,272095.7897,2229008709
12-02-2019,windowslive,1764.769531,14456992
12-02-2019,yahoo,13106.94531,107372096
12-02-2019,tcp,676.9384766,5545480
12-02-2019,akamai,3254.871094,26663904
12-02-2019,unknown,17276.60974,141529987
12-02-2019,teads,6456.959839,52895415
12-02-2019,google_tags,15511.24609,127068128
12-02-2019,amazon,4782.34314,39176955
12-02-2019,google_gen,678302.8716,5556657124
12-02-2019,youtube,246364676.2,2.01822E+12
12-02-2019,dns,843773.423,6912191881
12-02-2019,cloudflare,361.828125,2964096
12-02-2019,new_relic,120678.0649,988594708
12-02-2019,sharepoint_online,564.9960938,4628448
12-02-2019,scorecardresearch,595.9296875,4881856
12-02-2019,mozilla,466459.348,3821234979
12-02-2019,salesforce,486894.9023,3988643040
12-02-2019,bootstrapcdn,2937.832031,24066720
12-02-2019,linkedin,708.0117188,5800032
12-02-2019,google_accounts,14752.75781,120854592
12-02-2019,lkqd,5385.152222,44115167
12-02-2019,optimizely,14837.5,121548800
12-02-2019,outbrain,4207.371094,34466784
12-02-2019,atlassolutions,1074.640625,8803456
12-02-2019,google_ads,451271.3767,3696815118
12-02-2019,rlcdn,667.3007813,5466528
12-02-2019,google_analytics,4233.507813,34680896
12-02-2019,krux,11909.33594,97561280
12-02-2019,office365,41754.02734,342048992
12-02-2019,microsoft,13391.74219,109705152
12-02-2019,skype,31136.17188,255067520
12-02-2019,https,7149672.724,58570118951
12-02-2019,adobe,17884.83594,146512576
12-02-2019,taboola,858.4804688,7032672
12-02-2019,yahoo_search,5636.800781,46176672
12-02-2019,ntp,21.375,175104
12-02-2019,advertising_com,629.234375,5154688
12-02-2019,bing,1536.125,12583936
12-02-2019,everest_tech,1721.125,14099456
12-02-2019,bidswitch,305.59375,2503424
12-02-2019,ocsp,15655.41199,128249135
12-02-2019,gstatic,79921.12158,654713828
12-02-2019,http2,10231.02734,83812576
13-02-2019,atlassolutions,1310.178711,10732984
13-02-2019,bidswitch,392.90625,3218688
13-02-2019,outbrain,7501.381348,61451316
13-02-2019,google_ads,479761.8711,3930209248
13-02-2019,unknown,25430.74792,208328687
13-02-2019,optimizely,18698.79932,153180564
13-02-2019,bootstrapcdn,2937.832031,24066720
13-02-2019,firefox_update,66599.78894,545585471
13-02-2019,ntp,21.375,175104
13-02-2019,akamai,3329.300049,27273626
13-02-2019,mozilla,483231.8856,3958635607
13-02-2019,bing,1873.787842,15350070
13-02-2019,new_relic,228832.5619,1874596347
13-02-2019,ocsp,16918.55518,138596804
13-02-2019,office365,50410.09595,412959506
13-02-2019,youtube,267742632.8,2.19335E+12
13-02-2019,adobe,21648.78101,177346814
13-02-2019,google_analytics,5443.875977,44596232
13-02-2019,dns,953138.5626,7808111105
13-02-2019,facebook,300019.4272,2457759148
13-02-2019,tcp,883.8308105,7240342
13-02-2019,taboola,1428.81958,11704890
13-02-2019,yahoo_search,7633.71167,62535366
13-02-2019,advertising_com,1220.949707,10002020
13-02-2019,http2,12379.50342,101412892
13-02-2019,skype,41128.52148,336924848
13-02-2019,https,7760076.182,63570544084
13-02-2019,google_gen,718885.2924,5889108315
13-02-2019,microsoft,16783.30127,137488804
13-02-2019,windowslive,2116.669434,17339756
13-02-2019,sharepoint_online,564.9960938,4628448
13-02-2019,scorecardresearch,1183.360718,9694091
13-02-2019,salesforce,748886.5519,6134878633
13-02-2019,krux,13944.88086,114236464
13-02-2019,google_tags,24023.67993,196801986
13-02-2019,linkedin,708.0117188,5800032
13-02-2019,lkqd,8896.799805,72882584
13-02-2019,google_accounts,14752.75781,120854592
13-02-2019,mediamath,194.6976318,1594963
13-02-2019,gstatic,86692.44897,710184542
13-02-2019,yahoo,17079.39136,139914374
13-02-2019,rlcdn,667.3007813,5466528
